pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00226589, 0.00226589, 0.00226589, 0.00226589,
       0.00226589, 0.00320488, 0.00320488, 0.00320488, 0.00320488,
       0.00320488, 0.00320488, 0.00320488, 0.00320488, 0.00320488,
       0.00320488, 0.00226589, 0.00320488, 0.00320488, 0.00320488,
       0.00320488, 0.00320488, 0.00320488, 0.00320488, 0.00320488,
       0.00320488, 0.00320488, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00579981, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00579981, 0.00558279,
       0.00558279, 0.00558279, 0.00558279, 0.00558279, 0.00558279,
       0.00558279, 0.00558279]), 'rank_test_score': array([  1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,   1,
         1,   1,   1,   1,   1,   1,   1, 113, 113, 113, 113, 113, 113,
       113, 113, 113, 113,   1, 113, 113, 113, 113, 113, 113, 113, 113,
       113, 113, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133,
       133, 241, 133, 133, 133, 133, 133, 133, 133, 133, 133, 133, 241,
       133, 133, 133, 133, 133, 133, 133, 133], dtype=int32), 'split0_train_score': array([0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76063386, 0.76063386,
       0.76063386, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76063386,
       0.76063386, 0.76063386, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76063386, 0.76063386, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76063386, 0.76063386, 0.76146789, 0.76146789,
       0.76146789, 0.76146789, 0.76146789, 0.76146789, 0.76146789,
       0.76146789, 0.76146789]), 'split1_train_score': array([0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76063386, 0.76063386, 0.76063386, 0.76063386,
       0.76063386, 0.76230192, 0.76230192, 0.76230192, 0.76230192,
       0.76230192, 0.76230192, 0.76230192, 0.76230192, 0.76230192,
       0.76230192, 0.76063386, 0.76230192, 0.76230192, 0.76230192,
       0.76230192, 0.76230192, 0.76230192, 0.76230192, 0.76230192,
       0.76230192, 0.76230192, 0.76313595, 0.76313595, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76313595, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76313595,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76313595, 0.76313595, 0.76313595, 0.76313595, 0.76313595,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76313595, 0.76313595, 0.76313595, 0.76313595,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76313595, 0.76313595, 0.76313595,
       0.76313595, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76313595, 0.76313595,
       0.76313595, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76313595,
       0.76313595, 0.76313595, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76313595, 0.76313595, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76313595, 0.76313595, 0.76396997, 0.76396997,
       0.76396997, 0.76396997, 0.76396997, 0.76396997, 0.76396997,
       0.76396997, 0.76396997]), 'split2_train_score': array([0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76      ,
       0.76      , 0.76      , 0.76      , 0.76      , 0.76083333,
       0.76083333, 0.76083333, 0.76083333, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76      , 0.76      ,
       0.76083333, 0.76083333, 0.76083333, 0.76083333, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76083333,
       0.76083333, 0.76083333, 0.76083333, 0.76083333, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76083333, 0.76083333, 0.76083333, 0.76083333, 0.76083333,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76083333, 0.76083333, 0.76083333, 0.76083333,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76083333, 0.76083333, 0.76083333,
       0.76083333, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76083333, 0.76083333,
       0.76083333, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76083333,
       0.76083333, 0.76083333, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76083333, 0.76083333, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76083333, 0.76083333, 0.76166667, 0.76166667,
       0.76166667, 0.76166667, 0.76166667, 0.76166667, 0.76166667,
       0.76166667, 0.76166667]), 'split3_train_score': array([0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.75936719, 0.75936719,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983]), 'split4_train_score': array([0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.75936719, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.75936719,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.75936719, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.75936719, 0.75936719, 0.75936719, 0.75936719,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.75936719, 0.75936719, 0.75936719,
       0.75936719, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.75936719, 0.75936719,
       0.75936719, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.75936719,
       0.75936719, 0.75936719, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.75936719, 0.75936719, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.75936719, 0.75936719, 0.76019983, 0.76019983,
       0.76019983, 0.76019983, 0.76019983, 0.76019983, 0.76019983,
       0.76019983, 0.76019983]), 'mean_train_score': array([0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76000042, 0.76000042, 0.76000042, 0.76000042,
       0.76000042, 0.76033403, 0.76033403, 0.76033403, 0.76033403,
       0.76033403, 0.76033403, 0.76033403, 0.76033403, 0.76033403,
       0.76033403, 0.76000042, 0.76033403, 0.76033403, 0.76033403,
       0.76033403, 0.76033403, 0.76033403, 0.76033403, 0.76033403,
       0.76033403, 0.76033403, 0.76050084, 0.76050084, 0.76083403,
       0.76083403, 0.76083403, 0.76083403, 0.76133431, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76050084, 0.76050084,
       0.76083403, 0.76083403, 0.76083403, 0.76083403, 0.76133431,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76083403,
       0.76083403, 0.76083403, 0.76083403, 0.76083403, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76083403, 0.76083403, 0.76083403, 0.76083403, 0.76083403,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76083403, 0.76083403, 0.76083403, 0.76083403,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76150084, 0.76083403, 0.76083403, 0.76083403,
       0.76083403, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76083403, 0.76083403,
       0.76083403, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76083403,
       0.76083403, 0.76083403, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76083403, 0.76083403, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76083403, 0.76083403, 0.76150084, 0.76150084,
       0.76150084, 0.76150084, 0.76150084, 0.76150084, 0.76150084,
       0.76150084, 0.76150084]), 'std_train_score': array([0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00056647, 0.00056647, 0.00056647, 0.00056647,
       0.00056647, 0.00109028, 0.00109028, 0.00109028, 0.00109028,
       0.00109028, 0.00109028, 0.00109028, 0.00109028, 0.00109028,
       0.00109028, 0.00056647, 0.00109028, 0.00109028, 0.00109028,
       0.00109028, 0.00109028, 0.00109028, 0.00109028, 0.00109028,
       0.00109028, 0.00109028, 0.00139876, 0.00139876, 0.0012564 ,
       0.0012564 , 0.0012564 , 0.0012564 , 0.00156407, 0.00137916,
       0.00137916, 0.00137916, 0.00137916, 0.00139876, 0.00139876,
       0.0012564 , 0.0012564 , 0.0012564 , 0.0012564 , 0.00156407,
       0.00137916, 0.00137916, 0.00137916, 0.00137916, 0.0012564 ,
       0.0012564 , 0.0012564 , 0.0012564 , 0.0012564 , 0.00137916,
       0.00137916, 0.00137916, 0.00137916, 0.00137916, 0.00137916,
